"author","papers"
"Aguiar, Geissiane A.","LiDAR-Based Box Dimensioning in a Multi-Robot Logistics Scenario"
"Alberto, Carlos","Eliciting Intuitive Gestures in Drones via Controlled Frustration: A Multidisciplinary Study"
"Albiero, Daniel","A Django-Based Web Framework for Teleoperation of Differential Robots Integrated with ROS2; Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot"
"Alcalá, Symone G. S.","A Review of Proportional Navigation Guidance Laws: Formulations, Variants, and Implementation Considerations"
"Almeida, Ana J. S.","Seed Dispenser for Reforestation with Drones"
"Almeida, Thiago","Wi-Fi HaLow–Enabled Offboard Person Detection for UAV Search and Rescue"
"Almeida, Thiago N. S.","Teleoperation of Mobile Robots on a Portable Platform with 2D Augmented Reality Games Integrated into ROS 2"
"Alsina, Pablo J.","Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter"
"Alves, Matheus A. C.","Learning Perception-based Quadrupedal Locomotion on Highly Inclined Industrial Staircases; Next-Best-View using Deep Reinforcement Learning with Quadruped Robots in Simulation"
"Alves, Monteiro","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Alves, Tiago R.","Context-Aware Semantic Navigation: A Fuzzy Logic Costmap Fusion Approach for ROS2"
"Amado, José A. D.","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Amaral, Wellington M.","An Attentive Multi-Scale Approach for Semantic Segmentation"
"Americano, Pedro P.","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Amorim, Thulio","Lightweight Semantic Segmentation for Feature-based Visual Odometry in Dynamic Environments"
"Andrade, Aragão","Development of an Educational Robotics Kit Without the Use of Screens"
"Andrade, Caio A. C.","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Andrade, Cecilia H. G.","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Antônio, Av.","Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots"
"Aprigio, Leonardo","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Araujo, Claudia J. N.","Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices"
"Araújo, Adriano A.","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Araújo, Marcio V.","Relative Localization of a Robotic Smart Walker Based on Signal Fusion Using an Extended Information Filter"
"Asghar, Hasan A.","A Comparative Benchmark of Path Planning Algorithms in Dynamic Environments"
"Astrid, Fabricia","LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks"
"Augusto, Fabio","Development of a Robotic System for the Introduction of Space Robotics Concepts in Basic Education"
"Azpurua, Hector","Wi-Fi HaLow–Enabled Offboard Person Detection for UAV Search and Rescue"
"Azpúrua, Héctor","Adaptive Swarm Navigation: Dynamic Switching Between Behaviors for Congestion Avoidance in Cluttered Environments; Reward Shaping for Learning the Pre-Skimming Reach Phase with a Robotic Manipulator"
"Balieiro, Willy G.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Baptista, Rafael R.","Multi-Zone Velocity Control for Quadrupedal Gait Monitoring and Assistance in Rehabilitation"
"Barbosa, Alysson M. S.","On the Challenges of Amphibious Uncrewed Surface Vehicle Simulation"
"Barbosa, Gabriel S.","Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL"
"Barros, Pablo V. A.","Adaptive Proxemic Path Planning for Mobile Robots in Dynamic Human Environments with Predicted Motion"
"Bartholomeu, Victor","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Battistella, Linamara R.","IMU based displacement and impact estimation for the analysis of human-exoskeleton interactions"
"Baum, Matos L. B.","A 5R Robotic Master Arm Proposal for Remote Control of the KUKA KR3 R540 Industrial Robot"
"Bearzi, Carlos R.","A Review of Proportional Navigation Guidance Laws: Formulations, Variants, and Implementation Considerations; Performance Analysis of the IMM-EKF Estimator for Trajectory Prediction of the Hermes 900 UAV"
"Becker, Marcelo","Gain-Scheduled Control for Trajectory Tracking of a Two-Wheeled Balancing Mobile Robot; Learning Perception-based Quadrupedal Locomotion on Highly Inclined Industrial Staircases; Proprioceptive ContactNet: Towards Bridging the Sim-to-Real Gap in Quadrupedal Contact Estimation"
"Benaissa, Ilyes","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework"
"Bermudez, Gabriel","Learning Perception-based Quadrupedal Locomotion on Highly Inclined Industrial Staircases"
"Bertho, Gabriel","An Integrated System for Fast Mapping and Autonomous Navigation of Mobile Robots using ROS"
"Bessa, Iury","Exploiting domain knowledge for content-agnostic template matching in structured environments"
"Bezerra, Arthur A.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Bezerra, Lygia Á.","A New Approach for Action Recognition used in Proximal Control of UAVs"
"Bicho, Murilo C.","Mimoso: A Humanoid Platform for Research in Locomotion and Deep Reinforcement Learning"
"Boaventura, Thiago","Multi-Zone Velocity Control for Quadrupedal Gait Monitoring and Assistance in Rehabilitation; Next-Best-View using Deep Reinforcement Learning with Quadruped Robots in Simulation"
"Borges, Geovany A.","Pose estimation with ArUco markers and Kalman filter with on-line covariance adjustments for cooperative robotics"
"Bosenbecker, Vítor S.","Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle"
"Brandão, Alexandre S.","A WebRTC-Based Architecture for Remote Monitoring of Mobile Robots; Learning2Learning: An Educational Open Source App for Data Visualization in Robotics Navigation; LiDAR-Based Box Dimensioning in a Multi-Robot Logistics Scenario; LiDAR-Based Intruder Identification and Prevention in Leader–Follower Formations; UAV Path-Planning for Autonomous Power-Line Inspection Missions"
"Brandão, Diego N.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Breno, José","A Low-Cost Remotely Operated Underwater Vehicle for Educational Applications"
"Brito, Alexsandro S.","Portable LiDAR-Based System for Plant Height Measurement with Cloud Integration"
"Brito, Alternei S.","Distance-Optimized Waypoint Sequencing for UAV Environmental Monitoring"
"Brião, Stephanie L.","Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle; Semantic Amodal Segmentation Methods in Autonomous Vehicles Environments: A Review"
"Cabral, Eduardo L. L.","Use of Artificial Intelligence Techniques for Visual Localization Based on an Omnidirectional Catadioptric Camera"
"Caldas, Kenny A. Q.","Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers"
"Campos, Embraer S. S. J.","IMAGE-BASED GIMBAL CONTROL FOR OBJECT TRACKING"
"Campos, Leandro J. E.","Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers"
"Campos, São J.","IMAGE-BASED GIMBAL CONTROL FOR OBJECT TRACKING"
"Campos, Thiago A.","An Integrated System for Fast Mapping and Autonomous Navigation of Mobile Robots using ROS"
"Cardoso, João P. S.","Design of a Robotic Gripper with Magnetically Coupled Modular Fingers; Software Development for Function Generation Synthesis of Six-Bar Mechanisms via Optimization"
"Cardoso, Sabrina A.","Closed-loop grasp verification via structured multi-sensor reasoning under occlusion"
"Carmo, Mateus L.","Development of a digital twin for monitoring the autonomy of intelligent and connected electric vehicles"
"Carolina, Maria","Development of an Educational Robotics Kit Without the Use of Screens"
"Carvalho, Fernando F.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Systematic Review on Sensor Fusion Techniques for Mobile Robots Using LiDAR and Complementary Sensors; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
"Carvalho, José G. N.","Dispersive Polarized RRT (DP-RRT): A Novel Biased Sampling Strategy for Enhanced RRT Performance"
"Carvalho, Lucas L. M.","Vision-Based UAV Tracking for UAV–UGV Cooperation Using YOLOv11 and Kalman Filtering"
"Castro, Matheus L.","A Tiny Recursive Multi-Head Model for Semantic Traffic Sign Recognition in Autonomous Robotics"
"Chagas, Fabio S.","A Conceptual and Computational Model of Drone Swarms Using Flocking Dynamics"
"Chaimowicz, Luiz","Context-Aware Semantic Navigation: A Fuzzy Logic Costmap Fusion Approach for ROS2; Deep Reinforcement Learning for Quadruped Locomotion in Genesis: A Comparative Study of PPO, SAC, and TD3 in Irregular Terrains"
"Clua, Esteban W. G.","Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework; Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification"
"Clua, Gonzalez","Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats"
"Coelho, N. R.","Synthetic Data Set for Surgical Instrument Detection"
"Conceicao, S","Real-Time Immersive Robotic Teleoperation Framework Using Virtual Reality and ROS"
"Conceição, Evelyn M.","Unplugged Computing as an Introductory Strategy for Teaching Block-Based Programming Using the NAO Humanoid Robot"
"Conceição, R.","Bridging TurboWarp and NAO: API Architecture for Block-Based Humanoid Robot Programming"
"Cordova, Lucas B. V.","Super-BoW Algorithm for Place Recognition in Indoor Environments"
"Corrêa, Maurício F. S.","An Automated and Compact Fiber Optic Tether System for Mobile Robots in Confined Spaces"
"Costa, A.","Mapping and Localization in Confined Underwater Environments: A Review and Research Agenda; Transformer Models for Underwater 3D Reconstruction: Advances, Challenges and Trends; Underwater Localization in Low-Texture Environments: Review, State of the Art and Perspectives"
