id,pdf,titulo_artigo,autores_artigo,paginas,pagina_inicial,pagina_final,copyright,ieee_complace
1,052.pdf,Communication Backbone Deployment with Connectivity Maintenance,"Leonardo H. M. C. dos Santos, Caio C. G. Ribeiro, Douglas G. Macharet",6,1,6,True,IEEE Express Compliant
2,062.pdf,A Conceptual and Computational Model of Drone Swarms Using Flocking Dynamics,"Marlon M. López-Flores, Fabio Suim Chagas, Paulo Fernando Ferreira Rosa",6,7,12,True,IEEE Express Compliant
3,085.pdf,Development of a digital twin for monitoring the autonomy of intelligent and connected electric vehicles,"Mateus Lourenço do Carmo, Danilo Alves de Lima, Felipe Oliveira e Silva",6,13,18,True,IEEE Express Compliant
4,090.pdf,Adaptive Swarm Navigation: Dynamic Switching Between Behaviors for Congestion Avoidance in Cluttered Environments,"Laisson Bruno R. Germano, Héctor Azpúrua, Douglas G. Macharet",6,19,24,True,IEEE Express Compliant
5,166.pdf,An Agentic Framework for Aerial Swarms: Integrating LLMs with the Crazyswarm2,"Victor B. S. Fernandes, Arthur C. Vangasse, Luciano C. A. Pimenta, Gustavo M. Freitas",6,25,30,True,
6,101.pdf,Multi-agent Perimeter Defense of Spatially Distributed Regions,"Leonardo R. D. Paes, Cleiton N. Santos, Douglas G. Macharet",6,31,36,True,IEEE Express Compliant
7,055.pdf,Temporal Jitter Evaluation for Real-Time Vision Applications,"Vitor Amadeu Souza, Hebert Azevedo Sá, Paulo Fernando Ferreira Rosa",6,37,42,True,IEEE Express Compliant
8,083.pdf,UPI-Dataset: A Balanced UAV-Based Image Dataset for Defect and Anomaly Detection in Power Distribution Systems,"Gabriel B. Leandro, Arthur A. da Costa, Carlos A. F. Persiani, Gabriel S. Gama, Roberto S. Inoue, Valdir Grassi Jr., Marco H. Terra, Mário Oleskovicz",6,43,48,True,IEEE Express Compliant
9,129.pdf,UAV Visual Servoing for Electrical Distribution System Inspection,"Arthur A. Costa, Lucas B. Mello, Eduardo G. Ribeiro, Carlos A. F. Persiani, Roberto S. Inoue, Valdir Grassi Jr., Marco H. Terra, Mário Oleskovicz",6,49,54,True,IEEE Express Compliant
10,080.pdf,Exploiting domain knowledge for content-agnostic template matching in structured environments,"Rômulo T. Rodrigues, Marcelo Souza, Davidson Robert Moura, Jerry Varella, Iury Bessa, Kenny Vinente",6,55,60,True,IEEE Express Compliant
11,107.pdf,Generative-Augmented Maritime Navigation Dataset: A Deep Synthetic Data Generation Framework,"Lidia G. D. Meneses Santos, Igor Matias de Lima Dantas, Arthur Andrade Bezerra, Ilyes Benaissa, Emerson Vilar de Oliveira, Cosimo Distante, Esteban W. G. Clua, Luiz Marcos Garcia Gonçalves",6,61,66,True,IEEE Express Compliant
12,106.pdf,Multi-Variable Expanded Latent Space Autoencoder for Underwater Image Classification,"Igor Matias de Lima Dantas, Lidia G. D. de Meneses Santos, Arthur Andrade Bezerra, Emerson Vilar de Oliveira, Joris Guerin, Esteban W. G. Clua, Luiz Marcos Garcia Gonçalves",6,67,72,True,IEEE Express Compliant
13,039.pdf,Validation of Robotic Arm Gestures for Social Robots Based on Human Perception,"Raul Benites Paradeda, Mateus da Costa Furtado, Anderson Abner de Santana Souza",6,73,78,True,IEEE Express Compliant
14,092.pdf,Reward Shaping for Learning the Pre-Skimming Reach Phase with a Robotic Manipulator,"Thiago Lages Rocha, Héctor Azpúrua, Douglas G. Macharet",6,79,84,True,IEEE Express Compliant
15,102.pdf,Design of a Robotic Gripper with Magnetically Coupled Modular Fingers,"João Pedro da Silva Cardoso, Prof. Dr., Leonardo Mejia Rincon, Daniel Victor Krepsky",6,85,90,True,IEEE Express Compliant
16,190.pdf,Constrained Task-Space Control of a UR5 Manipulator Using CBF–QP,"Cayo Fábio Sousa, Vinicius Mariano Gonçalves, Armando Alves Neto",6,91,96,True,IEEE Express Compliant
17,189.pdf,Foundations of Vision Language Action Models for Generalist Robotic Manipulation,"Gabriel A. Dorneles, Kristofer S. Kappel, Rodrigo S. Guerra, Paulo L. J. Drews-Jr 1 .",6,97,102,True,IEEE Express Compliant
18,089.pdf,Dynamic Coalition Formation for Probabilistic Perimeter Defense with Homogeneous Defenders,"Cleiton N. Santos, Douglas G. Macharet",6,103,108,True,IEEE Express Compliant
19,156.pdf,Graph Connectivity Maintenance for Multi-Robots Systems under Visual Occlusion Constraints via CBFs,"Victor Sá, Arthur Vangasse, Douglas G. Macharet, Luciano Pimenta, Vinicius Gonçalves, Gustavo Freitas",6,109,114,True,IEEE Express Compliant
20,031.pdf,LiDAR-Based Intruder Identification and Prevention in Leader–Follower Formations,"Leonardo A. Fagundes-Junior, Alexandre S. Brandão",6,115,120,True,
21,188.pdf,Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots,"Enio Moreira, Silva Júnior, Gilmar Pereira da Cruz Júnior, Gustavo M. Freitas, Av. Antônio",6,121,126,True,IEEE Express Compliant
22,110.pdf,Software Development for Function Generation Synthesis of Six-Bar Mechanisms via Optimization,"Daniel Victor Krepsky, Prof. Dr., Leonardo Mejia Rincon, João Pedro da Silva Cardoso",6,127,132,True,IEEE Express Compliant
23,187.pdf,From Simulation to Hardware: Development of a Modular Underactuated Biped Robot,"Henrique Barros Simões, Pedro Parik-Americano, Ivan Fischman Ekman Simões 1 Pedro Yasuda, Norka Lazarte, Arturo Forner-Cordero",6,133,138,True,IEEE Express Compliant
24,196.pdf,Modeling and Control of Wind Disturbances in a Hybrid Unmanned Aerial-Underwater Vehicle,"Vítor S. Bosenbecker, Stephanie L. Brião, Pedro M. Pinheiro, Mauro A. B. Cunha, Gabriel B. Luche, Paulo L. J. Drews-Jr",6,139,144,True,IEEE Express Compliant
25,200.pdf,"A Review of Proportional Navigation Guidance Laws: Formulations, Variants, and Implementation Considerations","Nelson Ciancaglio Netto, Carlos Roberto Bearzi, Marco Antonio Rocha Ribeiro Filho, Symone Gomes Soares Alcalá, Anselmo Rafael Cukla",6,145,150,False,
26,088.pdf,Proprioceptive ContactNet: Towards Bridging the Sim-to-Real Gap in Quadrupedal Contact Estimation,"Masa Thema, Vivian Suzano Medeiros, Letícia I. Shimizu, Juliano Decico Negri, Marcelo Becker",6,151,156,True,IEEE Express Compliant
27,100.pdf,Next-Best-View using Deep Reinforcement Learning with Quadruped Robots in Simulation,"Lucas Toschi, Matheus Aparecido do Carmo Alves, Thiago Boaventura",6,157,162,True,IEEE Express Compliant
28,137.pdf,Learning Perception-based Quadrupedal Locomotion on Highly Inclined Industrial Staircases,"Letícia I. Shimizu, Matheus Aparecido do Carmo Alves, Juliano Decico Negri, Gabriel Bermudez, Marcelo Becker",6,163,168,True,IEEE Express Compliant
29,193.pdf,"Deep Reinforcement Learning for Quadruped Locomotion in Genesis: A Comparative Study of PPO, SAC, and TD3 in Irregular Terrains","Bruno Lemos, Rodrigo Silva, Guilherme Maia, Luiz Chaimowicz",6,169,174,True,IEEE Express Compliant
30,140.pdf,Control and Simulation of a Line-Follower Robot,"Jourdan Henrique Martins, Pereira Rogério Rodrigues Lima, Gustavo Medeiros Freitas",6,175,180,True,IEEE Express Compliant
31,123.pdf,Gain-Scheduled Control for Trajectory Tracking of a Two-Wheeled Balancing Mobile Robot,"Gustavo Corrêa de Oliveira, Vivian Suzano Medeiros, Marcelo Becker",6,181,186,True,IEEE Express Compliant
32,125.pdf,"Improving Indoor Mobile Robot Localization Using Integrated EKF-SLAM, AMCL and ArUco Fiducial Markers","Fernanda M. Luna, Kenny A. Q. Caldas, Leandro J. E. Campos, Kelen C. Teixeira Vivaldini, Tatiana F. P. A. T. Pazelli, Roberto S. Inoue",6,187,192,True,IEEE Express Compliant
33,143.pdf,Context-Aware Semantic Navigation: A Fuzzy Logic Costmap Fusion Approach for ROS2,"Tiago de Rezende Alves, Luiz Chaimowicz",6,193,198,True,IEEE Express Compliant
34,173.pdf,Transformer-based Decision-Making using Segmented Bird’s Eye View Images and Deep Reinforcement Learning,"Ana Huamán Reyna, Iago Pachêco Gomes, Vinicius Gustierrez Neves, Denis Fernando Wolf",6,199,204,True,
35,191.pdf,A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles,"Leandro H. V. Sousa, Christyan H. Ribeiro, Luciano C. A. Pimenta, Elias J. R. Freitas",6,205,210,True,IEEE Express Compliant
36,049.pdf,IMAGE-BASED GIMBAL CONTROL FOR OBJECT TRACKING,"Lucas Ávila Silva, Marcos R. O. A. Máximo Raphael das Neves Calvo, Embraer S.A. São José dos Campos, São José dos Campos",5,211,215,True,IEEE Express Compliant
37,070.pdf,Super-BoW Algorithm for Place Recognition in Indoor Environments,"Kesse Jonatas de Jesus, Lucas Marchesan Silva, Gustavo Arthur Dutra, Daniel Fernando, Tello Gamarra, Anselmo Rafael Cukla, Felipe Oliveira Silva, Rodrigo Silva Guerra, Paulo Lilles, Jorge Drews-Jr, Thássio Gomes Silva, Lucas Benedetti Viana Cordova",6,216,221,True,
38,081.pdf,Real-Time YOLO-Based Embedded System for Automated Breast Cancer Detection in Mammography,"E. C. Souto, C. A. Peña Fernández",6,222,227,True,IEEE Express Compliant
39,053.pdf,Pose estimation with ArUco markers and Kalman filter with on-line covariance adjustments for cooperative robotics,"Gabriel Tambara Rabelo, Marcos Eduardo Monteiro Junqueira, Geovany Araujo Borges",5,228,232,True,IEEE Express Compliant
40,169.pdf,An Attentive Multi-Scale Approach for Semantic Segmentation,"Vinicius Gustierrez Neves, Iago Pachêco Gomes, Ana Huamán Reyna, Wellington Matos Amaral, Denis Fernando Wolf",6,233,238,True,IEEE Express Compliant
41,207.pdf,Closed-loop grasp verification via structured multi-sensor reasoning under occlusion,"Marina B. Oliveira, Sabrina A. Cardoso, Felipe H.N. Nascimento, Antonio M.N. Lima, Danilo F.S. Santos",6,239,244,True,IEEE Express Compliant
42,010.pdf,Learning2Learning: An Educational Open Source App for Data Visualization in Robotics Navigation,"Leonardo A. Fagundes-Junior, Iure R. L. de Oliveira, Alexandre S. Brandão",6,245,250,True,
43,029.pdf,A Lightweight Open-Source Python-Based Simulator as an Educational Tool for Buoyancy Controlled Underwater Robotics,"Danilo S. Oliveira, Luiz Eduardo, A. de Oliveira, Vinicius C. F. dos Santos, Benício B. Cruz, Stephanie Kamarry, A. de Sousa",6,251,256,True,IEEE Express Compliant
44,035.pdf,Development of an Educational Robotics Kit Without the Use of Screens,"Anna Giselly, Fraga Martins, Luiz Eduardo Andrade de Oliveira Leonardo Aprigio Nascimento Fontes, Jonnathan Venceslau Souza, Maria Carolina, Aragão de Andrade, Benicio Barbosa Cruz",5,257,261,True,IEEE Express Compliant
45,066.pdf,Unplugged Computing and Educational Robotics in Early Childhood Education: Outreach Experiences with Playful and Sustainable Practices,"Claudia Juliette do N. Araujo, Maia Roniedson Fernandes da Silva Pequeno, Leonardo R. de L. Teixeira, Ana Emanuele, Vieira Lima, Elizangela da Silva, Dias de Souza, Mabele de Jesus Santos, Luciane Terra dos Santos Garcia, Luiz Marcos, Garcia Gonçalves",6,262,267,True,IEEE Express Compliant
46,171.pdf,An Active Learning Methodology for Teaching the Kalman Filter in Robotics Applications,"Modesto Valci, Moreira Lopes, Thiago Martins, Arturo Forner-Cordero, Eduardo Lobo Lustosa, Cabral Izabel Fernanda Machado, Larissa Driemeier",6,268,273,True,IEEE Express Compliant
47,067.pdf,Static Stability and Low-Level Actuation Control of a Wheel-Legged Agricultural Robot,"Hugo Rafacho Fernandes, Edna Carolina Moriones Polanía, Artur Vitório Andrade Santos, Flávio Roberto de Freitas Gonçalves, Daniel Albiero, Angel Pontin Garcia",7,274,280,True,IEEE Express Compliant
48,127.pdf,Challenges on Operational Procedures and Practical Experiences on Data Collection with Autonomous Sailboats,"André Ferreira Diego Nunes, Brandão Raphael Guerra Adriano Werneck, Luan Freitas, Cefet / RJ, Eduardo Charles Vasconcellos, Luiz Marcos, Garcia Gonçalves, Esteban Walter, Gonzalez Clua",6,281,286,True,IEEE Express Compliant
49,158.pdf,Wi-Fi HaLow–Enabled Offboard Person Detection for UAV Search and Rescue,"Thiago Almeida, Isaac Reyes, Paulo Rezeck, Hector Azpurua",6,287,292,True,IEEE Express Compliant
50,170.pdf,Robotic Safe and Efficient Measurement of Jaw Crusher Open Side Setting,"Controle e Automação de Processos de Mineração., Ouro Preto",6,293,298,True,IEEE Express Compliant
51,176.pdf,An Automated and Compact Fiber Optic Tether System for Mobile Robots in Confined Spaces,"Maurício F. S. Corrêa, Gustavo Freitas",6,299,304,True,IEEE Express Compliant
52,181.pdf,OTA Updates for Intelligent Vehicles: Challenges for a Safe and Secure Strategy,"Henrique Cordeiro Pereira, Petrônio Gomes, Lopes Júnior",6,305,310,True,IEEE Express Compliant
53,086.pdf,Development of an Expressive Self-Balancing Companion Robot,"Luis Augusto Ccopa Ibarra, Caio Puertas Popolin Garcia, Priscila Cunha Vazquez, Nityananda Vianna Saraswati, Danilo Hernani Perico",6,311,316,True,IEEE Express Compliant
